code,name,credit,hours,type,major
PED300,体育Ⅲ Physical Education Ⅲ,1.0,36,必修,20252025计算机类(2025计算机类)
PED400,体育Ⅳ Physical Education Ⅳ,1.0,36,必修,20252025计算机类(2025计算机类)
HUM102,沟通与写作 Communication and Writing,2.0,34,必修,20252025计算机类(2025计算机类)
HUM129,哲学导论 Introduction to the Philisophy,2.0,34,必修,20252025计算机类(2025计算机类)
HUM130,逻辑导论 Introduction to Logic,2.0,34,必修,20252025计算机类(2025计算机类)
HUM131,批判性思维 Critical Thinking,2.0,34,必修,20252025计算机类(2025计算机类)
HUM132,中国哲学史 History of Chinese Philosophy,2.0,34,必修,20252025计算机类(2025计算机类)
HUM133,西方哲学史 History of Western Philosophy,2.0,34,必修,20252025计算机类(2025计算机类)
HUM103,中国传统文化概论 An Overview of Chinese Traditional Culture,2.0,34,必修,20252025计算机类(2025计算机类)
HUM134,国学导论 Introduction to Traditional Chinese Culture,2.0,34,必修,20252025计算机类(2025计算机类)
HUM136,文学导论 Introduction to Literary,2.0,34,必修,20252025计算机类(2025计算机类)
HUM144,中国史通论 General Knowledge of HistoryGeneral Theory of Chinese History,2.0,34,必修,20252025计算机类(2025计算机类)
HUM127,艺术导论 Art Introduction,2.0,34,必修,20252025计算机类(2025计算机类)
HUM139,美学导论 Introduction to Aesthetics,2.0,34,必修,20252025计算机类(2025计算机类)
HUM140,中国艺术史 History of Chinese Art,2.0,34,必修,20252025计算机类(2025计算机类)
HUM141,西方艺术史 History of Western Art,2.0,34,必修,20252025计算机类(2025计算机类)
HUM142,艺术创作与表演 Art Creation and Performance,2.0,34,必修,20252025计算机类(2025计算机类)
HUM106,社会学思想与方法 Sociological Thought and Methods,2.0,34,必修,20252025计算机类(2025计算机类)
HUM138,英语文学与当代世界 Literature and the Contemporary World,2.0,34,必修,20252025计算机类(2025计算机类)
HUM145,国际组织与全球治理 International Organizations and Global Governance,2.0,34,必修,20252025计算机类(2025计算机类)
HUM146,英语国家与文化互鉴 Mutual learning between countries and cultures,2.0,34,必修,20252025计算机类(2025计算机类)
HUM150,全球粮食安全与可持续农业 Sustainable Agriculture and Food Security,1.0,17,必修,20252025计算机类(2025计算机类)
CST121,计算机与大数据基础 Basis Of Computer And Big Data,2.0,34,必修,20252025计算机类(2025计算机类)
HUM148,双碳战略与可持续发展 Dual Carbon Strategy and Sustainable Development,2.0,34,必修,20252025计算机类(2025计算机类)
HUM401,数字经济 Digital economics,2.0,34,必修,20252025计算机类(2025计算机类)
PAD108,数字政府与社会 Digital Government and Society,2.0,34,必修,20252025计算机类(2025计算机类)
CST124,数据结构（C语言） Data Structures (C Language),3.0,51,必修,20252025计算机类(2025计算机类)
HUM117,大学物理 Principle of Physics,3.0,51,必修,20252025计算机类(2025计算机类)
CST422,大学物理实验 Experiments of University Physics,2.0,34,必修,20252025计算机类(2025计算机类)
FIT403,计算机组成原理 Principles of Computer Organization,3.0,51,必修,20252025计算机类(2025计算机类)
CST204,操作系统 Operating System,3.0,51,必修,20252025计算机类(2025计算机类)
CST203,计算机网络 Computer Networks,3.0,51,必修,20252025计算机类(2025计算机类)
CST207,算法分析与设计 Algorithm Analysis and Design,3.0,51,必修,20252025计算机类(2025计算机类)
CST205,数据库原理与应用 Database Theories and Application,3.0,51,必修,20252025计算机类(2025计算机类)
DSC321,机器学习与数据挖掘 Machine Learning and Data Mining,4.0,68,必修,20252025计算机类(2025计算机类)
CST201,数字逻辑电路 Digital Logical Circuit,3.0,51,必修,20252025计算机类(2025计算机类)
CST322,软件工程 Software Engineering,3.0,51,必修,20252025计算机类(2025计算机类)
CST327,大数据技术 Big Data Technology,3.0,51,必修,20252025计算机类(2025计算机类)
CST208,编译原理 Principle of Compiling,4.0,68,必修,20252025计算机类(2025计算机类)
CST302,数字图像处理 Digital Image Processing,3.0,51,必修,20252025计算机类(2025计算机类)
DSC202,数据可视化 Data Visualization,3.0,51,必修,20252025计算机类(2025计算机类)
DSC401,深度学习 Deep Learning,3.0,51,必修,20252025计算机类(2025计算机类)
CST331,智能语音处理 Intelligent Speech Processing,3.0,51,必修,20252025计算机类(2025计算机类)
CST344,机器视觉 Machine Vision,3.0,51,必修,20252025计算机类(2025计算机类)
CST332,现代密码学 Modern Cryptography,3.0,51,必修,20252025计算机类(2025计算机类)
CST333,网络安全原理与实践 Principles and Practices of Cybersecurity,3.0,51,必修,20252025计算机类(2025计算机类)
CST326,区块链技术 Financial Certification-Theory and Practice,3.0,51,必修,20252025计算机类(2025计算机类)
CST334,数据安全与隐私保护 Data Security and Privacy Protection,3.0,51,必修,20252025计算机类(2025计算机类)
CST335,系统与应用安全 System and Application Security,3.0,51,必修,20252025计算机类(2025计算机类)
CST123,数据仓库 Data Warehouse,3.0,51,必修,20252025计算机类(2025计算机类)
CST132,JAVA EE开发实践 JAVA EE Development Practice,2.0,34,必修,20252025计算机类(2025计算机类)
CST403,矩阵分析 Matrix Analysis,2.0,34,必修,20252025计算机类(2025计算机类)
CST339,金融科技基础 Basics of Financial Technology,2.0,34,必修,20252025计算机类(2025计算机类)
CST412,图论及其应用 Graph theory and its applications,2.0,34,必修,20252025计算机类(2025计算机类)
CST336,移动应用开发实践 Mobile Application Development,2.0,34,必修,20252025计算机类(2025计算机类)
CST337,人工智能综合实践 Comprehensive Practice of Artificial Intelligence,2.0,34,必修,20252025计算机类(2025计算机类)
CST345,知识图谱与应用 Knowledge Map and Application,2.0,34,必修,20252025计算机类(2025计算机类)
